title,score,developer,publisher,rom_name,size
ESPN MLS GameNight,7.0,Saffire,Konami,ESPN MLS Gamenight (USA) (Track 01).bin,192969840
Grand Theft Auto 2,7.0,DMA Design,Rockstar Games,Grand Theft Auto 2 (USA).bin,545798064
MTV Sports: Pure Ride,7.0,Radical Entertainment,THQ,MTV Sports - Pure Ride (USA) (Track 1).bin,406884240
NFL Blitz 2001,7.0,Avalanche Software,Midway,NFL Blitz 2000 (USA) (Track 1).bin,253430352
Super Shot Soccer,7.0,Tecmo,Tecmo,Super Shot Soccer (USA) (Track 1).bin,333346608
Thunder Force V,7.0,TechnoSoft,Working Designs,Thunder Force V - Perfect System (USA).bin,594275136
Battle Arena Toshinden,6.9,Tamsoft,SCEA,Battle Arena Toshinden (Europe) (Track 01).bin,14874048
Castlevania Chronicles,6.9,Konami,Konami,Castlevania Chronicles (Europe).bin,528315648
Destruction Derby Raw,6.9,Studio 33,Midway,"Destruction Derby Raw (Europe) (En,Fr,De,Es,It) (Track 01).bin",272535648
Inuyasha: A Feudal Fairy Tale,6.9,Dimps Corporation,Bandai,Inuyasha - A Feudal Fairy Tale (USA) (Rev 1).bin,666629712
NASCAR Thunder 2002,6.9,EA Sports,Electronic Arts,NASCAR Thunder 2002 (USA).bin,224552496
NCAA GameBreaker 2001,6.9,989 Sports,SCEA,NCAA GameBreaker 2001 (USA) (Track 1).bin,569405088
Pro Pinball: Big Race USA,6.9,Cunning Developments,Empire Interactive,Pro Pinball - Big Race USA (USA) (Track 01).bin,102076800
Silhouette Mirage: Reprogrammed Hope,6.9,Treasure,Working Designs,Silhouette Mirage - Reprogrammed Hope (Japan) (Track 01).bin,179340000
Strider 2,6.9,Use,Capcom,Strider 2 (Europe) (Beta) (2000-05-30).bin,459625488
Ball Breakers,6.8,Lost Toys,Take-Two Interactive,Ball Breakers (USA).bin,504795648
Crash Bash,6.8,Eurocom,SCEA,Crash Bash (USA).bin,178220448
Ducati World Racing Challenge,6.8,Attention To Detail,Acclaim,Ducati World - Racing Challenge (USA) (Track 01).bin,33770016
MLB 2004,6.8,989 Sports,SCEA,MLB 2005 (USA).bin,612696000
Ready 2 Rumble Boxing: Round 2,6.8,Midway,Midway,Ready 2 Rumble Boxing (USA).bin,286908720
Vanishing Point,6.8,Clockwork Games,Acclaim,Vanishing Point (Italy) (Track 01).bin,219653280
Dave Mirra Freestyle BMX: Maximum Remix,6.7,"Z-Axis, Ltd.",Acclaim,Dave Mirra Freestyle BMX - Maximum Remix (USA) (Track 1).bin,299734176
RayCrisis,6.7,Taito Corporation,Working Designs,RayCrisis (Europe).bin,489660528
Bust A Groove 2,6.6,Metro,Enix Corporation,Bust A Groove 2 (USA).bin,612411408
Disney's The Emperor's New Groove,6.6,Argonaut Games,SCEA,Disney's The Emperor's New Groove (Europe).bin,611649360
F1 Championship Season 2000,6.6,EA Sports,EA Sports,"F1 Championship Season 2000 (Europe) (En,Es,Sv,Fi).bin",690615408
High Heat Major League Baseball 2002,6.6,3DO,3DO,High Heat Major League Baseball 2002 (USA) (Track 1).bin,140983584
SnoCross Championship Racing,6.6,Unique Development Studios,Crave,"SnoCross Championship Racing (Europe) (En,Fr,De,Es,It).bin",345301824
Torneko:  The Last Hope,6.6,Matrix Software,Enix Corporation,World of Dragon Warrior - Torneko - The Last Hope (USA) (Track 1).bin,583434768
David Beckham Soccer,6.5,Yoyo Entertainment,Majesco,"David Beckham Soccer (Europe) (Fr,De,Es,It).bin",550243344
Disney's Donald Duck: Goin' Quackers,6.5,Disney Interactive Studios,Ubisoft,Disney's Donald Duck - Goin' Quackers (USA).bin,307806240
Mega Man X6,6.5,Capcom,Capcom,Mega Man X4 (USA).bin,592217136
"Monsters, Inc. Scream Team",6.5,Artificial Mind and Movement,SCEA,"Disney-Pixar Monsters, Inc. - Scream Team (USA).bin",738492720
Razor Freestyle Scooter,6.5,Shaba Games,Crave,Razor Freestyle Scooter (USA) (Track 1).bin,266013552
Tiger Woods PGA Tour 2001,6.5,Stormfront Studios,EA Sports,Tiger Woods PGA Tour 2000 (USA).bin,288218784
Digimon Rumble Arena,6.4,Bandai,Bandai,Digimon Rumble Arena (USA).bin,266827344
Harry Potter and the Sorcerer's Stone,6.4,Warthog,EA Games,"Harry Potter and the Sorcerer's Stone (USA) (En,Fr,Es).bin",602455392
Martian Gothic: Unification,6.4,Creative Reality,Take-Two Interactive,Martian Gothic - Unification (USA).bin,660752064
Surf Riders,6.4,ACOT,Ubisoft,Surf Riders (Europe) (Track 01).bin,112084560
C-12: Final Resistance,6.3,SCE Studio Cambridge,SCEA,C-12 - Final Resistance (USA) (Track 1).bin,453416208
Star Wars: Demolition,6.3,"Luxoflux, Inc.",LucasArts,Star Wars - Demolition (USA) (Track 01).bin,243417888
Strikers 1945 II,6.3,Psikyo,Agetec,Strikers 1945 II (Europe).bin,357511056
The Weakest Link,6.3,Traveller's Tales,Activision,"Weakest Link, The (USA) (Rev 1).bin",722289792
Tomb Raider: Chronicles,6.3,Core Design Ltd.,Eidos Interactive,Tomb Raider Chronicles (USA) (Rev 1).bin,652162560
Dexter's Laboratory: Mandark's Lab?,6.2,Red Lemon Studios,Bam Entertainment,Dexter's Laboratory - Mandark's Lab (USA) (Track 1).bin,257574576
Driver 2,6.2,Reflections Interactive,Infogrames,Driver 2 (USA) (Disc 2) (Rev 1).bin,602862288
Hogs of War,6.2,Infogrames Sheffield,Infogrames,Hogs of War (Europe) (Track 1).bin,469795536
Hoshigami: Ruining Blue Earth,6.2,Max Five,Atlus,Hoshigami - Ruining Blue Earth (USA) (Track 1).bin,555542400
NASCAR Heat,6.2,Monster Games Inc.,Hasbro Interactive,NASCAR Heat (USA) (Track 1).bin,714048384
NFL GameDay 2002,6.2,Red Zone Entertainment,SCEA,NFL GameDay 99 (USA) (Track 1).bin,684034512
One Piece Mansion,6.2,Capcom,Capcom,One Piece Mansion (Europe).bin,435903216
Rayman Rush,6.2,Ubisoft Shanghai,Ubisoft,"Rayman Rush (Europe) (En,Fr,De,Es,It).bin",506971248
Stuart Little 2,6.2,Creations,Activision,Stuart Little 2 (Netherlands).bin,619086384
Vanguard Bandits,6.2,S-Neo,Working Designs,Vanguard Bandits (USA).bin,570973872
007: The World is not Enough,6.1,Eurocom,Electronic Arts,007 - The World Is Not Enough (USA) (Beta) (2000-08-26).bin,750278592
Alien Resurrection,6.1,Argonaut Games,Fox Interactive,"Alien Resurrection (Europe) (En,Fr,De,Es,It) (Track 1).bin",503850144
Disney's Aladdin in Nasira's Revenge,6.1,Argonaut Games,SCEA,Disney's Aladdin in Nasira's Revenge (Europe).bin,626401104
Gundam: Battle Assault,6.1,Natsume,Bandai,Gundam Battle Assault (Japan) (Track 01).bin,15252720
NFL GameDay 2003,6.1,989 Sports,SCEA,NFL GameDay 99 (USA) (Track 1).bin,684034512
Pro Pinball: Fantastic Journey,6.0,Empire Interactive,Take-Two Interactive,Pro Pinball - Fantastic Journey (USA) (Track 01).bin,103551504
Speedball 2100,6.0,The Bitmap Brothers,Take-Two Interactive,"Speedball 2100 (Europe) (En,Fr,De,Es,It) (Track 01).bin",26420016
Men in Black - The Series: Crashdown,5.9,Runecraft,Infogrames,Men in Black - The Series - Crashdown (USA).bin,664675200
Peter Pan in Disney's Return to Neverland,5.9,Doki Denki,SCEA,Peter Pan in Disney's Return to Never Land (USA).bin,582832656
Darkstone,5.8,Delphine Software International,Take-Two Interactive,Darkstone (Australia) (Track 01).bin,398969760
Championship Surfer,5.7,Krome Studios,Mattel,"Championship Surfer (Europe) (En,Fr,De,Es,It,Nl) (Track 01).bin",96479040
Dragon Valor,5.7,Namco,Namco,Dragon Valor (USA) (Disc 2) (Track 1).bin,657981408
Polaris Snocross,5.7,Vicarious Visions,Vatical Entertainment,Polaris SnoCross (USA).bin,238572768
Sydney 2000,5.7,Attention To Detail,Eidos Interactive,Sydney 2000 (Australia) (Track 1).bin,431340336
Yu-Gi-Oh! Forbidden Memories,5.7,KCEJ,Konami,Yu-Gi-Oh! Forbidden Memories (USA).bin,517872768
Cool Boarders 2001,5.6,Idol Minds,SCEA,Cool Boarders 2001 (USA).bin,234677856
Gunfighter: The Legend of Jesse James,5.5,Rebellion,Ubisoft,Gunfighter - The Legend of Jesse James (USA).bin,190589616
NCAA Final Four 2001,5.5,989 Sports,SCEA,NCAA Final Four 99 (USA).bin,330256080
The Grinch,5.5,Artificial Mind and Movement,Konami,,
The Mummy,5.5,Rebellion,Konami,,
Disney/Pixar Buzz Lightyear of Star Command,5.4,Traveller's Tales,Activision,Disney-Pixar Buzz Lightyear of Star Command (USA).bin,545920368
Disney's Lilo & Stitch,5.4,Blitz Games,SCEA,Disney's Lilo & Stitch (USA).bin,521203200
World's Scariest Police Chases,5.4,Unique Development Studios,Activision,World's Scariest Police Chases (Europe).bin,437380272
Ford Racing,5.3,"MotiveTime, Ltd.",Empire Interactive,Ford Racing (Europe) (Track 01).bin,42834624
Hot Wheels Extreme Racing,5.3,Atod,THQ,Hot Wheels - Extreme Racing (USA) (Track 01).bin,72102912
NBA ShootOut 2002,5.3,Killer Game,SCEA,NBA ShootOut 2004 (USA) (Track 1).bin,293463744
The Dukes of Hazzard II: Daisy Dukes It Out,5.3,Sinister Games,SouthPeak Games,"Dukes of Hazzard II, The - Daisy Dukes It Out (USA).bin",699912864
Ultimate Fighting Championship,5.3,Anchor (Legacy),Crave,Ultimate Fighting Championship (Europe).bin,546600096
Smurf Racer!,5.2,Artificial Mind and Movement,Infogrames,"Smurf Racer! (USA) (En,Fr,Es).bin",250480944
007 Racing,5.1,Eutechnyx,Electronic Arts,007 Racing (USA).bin,565011552
Action Bass,5.1,Vingt-et-un Systems,Take-Two Interactive,Action Bass (Europe).bin,171905328
Blade (2000),5.1,Hammerhead,Activision,Sydney 2000 (Japan) (Track 01).bin,413469840
Digimon Digital Card Battle,5.1,Bec,Bandai,Digimon Digital Card Battle (Europe).bin,215803056
Evil Dead: Hail to the King,5.1,Heavy Iron Studios,THQ,Evil Dead - Hail to the King (USA) (Disc 2).bin,634306176
Twisted Metal: Small Brawl,5.1,Incognito Inc.,SCEA,Twisted Metal - Small Brawl (USA).bin,328143984
Army Men: World War,5.0,3DO,3DO,Army Men - World War (USA).bin,514311840
E.T. Interplanetary Mission,5.0,Digital Eclipse,NewKidCo,E.T. the Extra-Terrestrial - Interplanetary Mission (USA) (Track 01).bin,48267744
Who Wants to Be a Millionaire 3rd Edition,5.0,Jellyvision,SCEA,Who Wants to Be a Millionaire - 3rd Edition (USA).bin,469506240
Clock Tower II: The Struggle Within,4.9,Human Entertainment,Agetec,Clock Tower II - The Struggle Within (USA).bin,428922480
Runabout 2,4.9,Climax Entertainment,Hot-B,Runabout 2 (Europe) (Track 1).bin,356753712
Army Men: Sarge's Heroes 2,4.8,3DO,3DO,Army Men - Sarge's Heroes (USA).bin,700672560
Freestyle Motocross: McGrath Vs. Pastrana,4.8,"Z-Axis, Ltd.",Acclaim,Freestyle Motocross - McGrath vs. Pastrana (USA) (Track 1).bin,165423216
Power Spike Pro Beach Volleyball,4.8,Carapace,Infogrames,Power Spike - Pro Beach Volleyball (USA).bin,421118544
Spec Ops: Ranger Elite,4.8,Runecraft,Take-Two Interactive,Spec Ops - Ranger Elite (USA).bin,194540976
Digimon World 3,4.7,Boom,Bandai,Digimon World 3 (USA).bin,647526768
MTV Sports: T.J. Lavin's Ultimate BMX,4.7,Blue Shift,THQ,MTV Sports - T.J. Lavin's Ultimate BMX (USA).bin,595604016
Woody Woodpecker Racing,4.6,Syrox Developments,Konami,"Woody Woodpecker Racing (Europe) (En,Fr,De,Es,It).bin",131714352
Disney's Dinosaur,4.4,Disney Interactive Studios,Ubisoft,"Disney's Dinosaur (Europe) (En,Nl,Sv,No,Da,Fi) (Track 1).bin",516348672
Disney's Treasure Planet,4.4,Bizarre Creations,Disney Interactive,Disney's Treasure Planet (Europe) (Beta) (2002-08-01).bin,474791184
Mike Tyson Boxing,4.4,Virtucraft,Ubisoft,"Mike Tyson Boxing (Europe) (En,Fr,De,Es,It).bin",477089088
Creatures,4.3,Creature Labs,Conspiracy Entertainment,"Creatures (Europe) (En,Fr,De,Es,It).bin",506689008
Danger Girl,4.3,n-Space,THQ,Danger Girl (Europe).bin,682362240
ECW Anarchy Rulz,4.3,Acclaim Studios Salt Lake City,Acclaim,ECW Anarchy Rulz (Germany) (Track 1).bin,512580768
Jeremy McGrath Supercross 2000,4.3,Acclaim Studios Salt Lake City,Acclaim,"Jeremy McGrath Supercross 2000 (Europe) (En,Fr,De) (Track 1).bin",254298240
All-Star Slammin' D-Ball,4.2,Access,Agetec,All-Star Slammin' D-Ball (USA).bin,214544736
ATV: Quad Power Racing,4.2,Climax Studios,Acclaim,ATV - Quad Power Racing (Japan) (Track 1).bin,295818096
Digimon World 2,4.2,Bec,Bandai,Digimon World 3 (USA).bin,647526768
Countdown Vampires,4.1,K2 LLC,Bandai,Countdown Vampires (USA) (Disc 2).bin,586539408
MTV Sports: Skateboarding featuring Andy Macdonald,4.0,Darkblack,THQ,MTV Sports - Skateboarding featuring Andy Macdonald (USA).bin,667549344
WCW Backstage Assault,4.0,Kodiak Interactive,Electronic Arts,WCW Backstage Assault (Europe).bin,699249600
Resident Evil: Survivor,3.9,TOSE,Capcom,Resident Evil - Survivor (USA).bin,425730816
Duke Nukem: Land of the Babes,3.7,n-Space,Infogrames,Duke Nukem - Land of the Babes (USA).bin,707813232
"Army Men: World War - Land, Sea, Air",3.5,3DO,3DO,"Army Men - World War - Land, Sea, Air (USA).bin",277853520
World Destruction League: Thunder Tanks,3.5,3DO,3DO,World Destruction League - Thunder Tanks (USA).bin,491570352
Gold and Glory: The Road to El Dorado,3.4,Revolution Software,Ubisoft,Gold and Glory - The Road to El Dorado (USA).bin,633029040
Motocross Mania,3.4,Deibus Studios,On Deck Interactive,"Motocross Mania (Europe) (En,Fr,De,Es,It) (Track 01).bin",143587248
V.I.P.,3.3,Ubisoft Shanghai,Ubisoft,"V.I.P. (Europe) (En,Fr,De,Es,It).bin",633854592
The Simpsons Wrestling,3.2,Big Ape Productions,Activision,"Simpsons Wrestling, The (USA).bin",506830128
Disney's The Lion King: Simba's Mighty Adventure,3.0,Paradox Development,Activision,Disney's The Lion King - Simba's Mighty Adventure (USA) (Track 1).bin,595994448
Hooters Road Trip,3.0,Hoplite Research,Ubisoft,Hooters - Road Trip (USA).bin,295074864
The Powerpuff Girls: Chemical X-Traction,3.0,VIS Entertainment,Bam Entertainment,"Powerpuff Girls, The - Chemical X-Traction (USA) (En,Es) (Track 01).bin",223018992
Mortal Kombat: Special Forces,2.8,Midway,Midway,Mortal Kombat - Special Forces (USA).bin,319784976
Animorphs: Shattered Reality,2.7,SingleTrac,Infogrames,Animorphs - Shattered Reality (USA) (Track 1).bin,267558816
HBO Boxing,2.6,Osiris Studios,Acclaim,"HBO Boxing (Europe) (En,De) (Track 1).bin",424267872
KISS Pinball,2.6,Tarantula Studios,Take-Two Interactive,"KISS Pinball (Europe) (En,Fr,De).bin",283206672
Dragon Ball Z: Ultimate Battle 22,2.5,TOSE,Infogrames,Dragon Ball Z - Ultimate Battle 22 (USA).bin,336338352
