Gears of War 2	9.3	Epic Games	Microsoft Game Studios
Forza Motorsport 3	9.2	Turn 10	Microsoft Game Studios
Halo: Reach	9.1	Bungie	Microsoft Game Studios
Gears of War 3	9.1	Epic Games	Microsoft Game Studios
Forza Motorsport 4	9.1	Turn 10	Microsoft Game Studios
Portal: Still Alive	9.0	Valve Software	Microsoft Game Studios
Geometry Wars: Retro Evolved 2	9.0	Bizarre Creations	Bizarre Creations
Forza Motorsport 2	9.0	Turn 10	Microsoft Game Studios
Project Gotham Racing 3	8.8	Bizarre Creations	Microsoft Game Studios
Joe Danger: Special Edition	8.8	Hello Games	Microsoft Game Studios
Trials HD	8.6	RedLynx	Microsoft Game Studios
Dance Central 3	8.6	Harmonix Music Systems	Microsoft Game Studios
Dance Central 2	8.6	Harmonix Music Systems	Microsoft Game Studios
Trials Evolution: Origin of Pain	8.5	RedLynx	Microsoft Game Studios
Project Gotham Racing 4	8.5	Bizarre Creations	Microsoft Game Studios
Gears of War 3: Forces of Nature Map Pack	8.5	Epic Games	Microsoft Game Studios
Forza Horizon	8.5	Playground Games	Microsoft Game Studios
Dead or Alive 4	8.5	Team Ninja	Tecmo
'Splosion Man	8.4	Twisted Pixel Games	Twisted Pixel Games
Sega Vintage Collection: Streets of Rage	8.4	M2	Sega
Bomberman Live	8.4	Backbone Entertainment	Hudson Entertainment
Halo 3: ODST	8.3	Bungie	Microsoft Game Studios
Guardian Heroes	8.3	Treasure	Sega
Crackdown	8.3	Realtime Worlds	Microsoft Game Studios
Viva Pinata: Trouble in Paradise	8.2	Rare Ltd.	Microsoft Game Studios
Halo Wars	8.2	Ensemble Studios	Microsoft Game Studios
Dance Central (2010)	8.2	Harmonix Music Systems	MTV Games
Trials Evolution: The Riders of Doom	8.1	RedLynx	Microsoft Game Studios
Toy Soldiers: Cold War	8.1	Signal Studios	Microsoft Game Studios
Poker Smash (2008)	8.1	Void Star Creations	Void Star Creations
Perfect Dark Zero	8.1	Rare Ltd.	Microsoft Game Studios
Ninja Gaiden II	8.1	Team Ninja	Tecmo
Kinect Party	8.1	Double Fine Productions	Microsoft Game Studios
ilomilo	8.1	Southend Interactive	Microsoft Game Studios
Halo: Reach - Defiant Map Pack	8.1	Bungie	Microsoft Game Studios
Zero D Beat Drop	8.0	Cyclone Zero	Arc System Works
Snoopy Flying Ace	8.0	Smart Bomb Interactive	Microsoft Game Studios
Naruto: The Broken Bond	8.0	Ubisoft Montreal	Ubisoft
MotoGP '06	8.0	Climax Studios	THQ
Double Fine Happy Action Theater	8.0	Double Fine Productions	Microsoft Game Studios
Alan Wake: The Writer	8.0	Remedy Entertainment	Microsoft Game Studios
Ace Combat 6: Fires of Liberation	8.0	Project Aces 	Namco Bandai Games
Sonic the Hedgehog 3	7.9	Backbone Entertainment	Sega
Singularity (Indie Game)	7.9	Philip C	Philip C
Sesame Street: Once Upon a Monster	7.9	Double Fine Productions	Warner Bros. Interactive Entertainment
Quarrel	7.9	Denki	UTV Ignition Games
Pinball FX 2: Ms. 'Splosion Man	7.9	Zen Studios	Zen Studios
Marble Blast Ultra	7.9	GarageGames	GarageGames
Hexic HD	7.9	Carbonated Games	Microsoft Game Studios
Hasbro Family Game Night: Scrabble	7.9	Electronic Arts	Electronic Arts
Gears of War: Judgment	7.9	Epic Games	Microsoft Game Studios
Gears of War 2: All Fronts Collection	7.9	Epic Games	Microsoft Game Studios
Dead Rising 2: Case Zero	7.9	Blue Castle Games	Capcom
Blue Dragon	7.9	Mistwalker	Microsoft Game Studios
Naruto: Rise of a Ninja	7.8	Ubisoft Montreal	Ubisoft
Lost Odyssey	7.8	Mistwalker	Microsoft Game Studios
Kinectimals: Now with Bears!	7.8	Frontier Developments	Microsoft Game Studios
Kinect Nat Geo TV	7.8	Relentless Software	Microsoft Game Studios
Hasbro Family Game Night: Yahtzee	7.8	Electronic Arts	Electronic Arts
Far Cry Instincts Predator	7.8	Ubisoft Montreal	Ubisoft
Every Extend Extra Extreme	7.8	Cyclone Zero	Q Entertainment
Bust-A-Move Live!	7.8	Taito Corporation	Taito Corporation
Bangai-O HD: Missile Fury	7.8	Treasure	D3Publisher
Your Shape Fitness Evolved 2012	7.7	Ubisoft	Ubisoft
Uno Rush	7.7	Carbonated Games	Microsoft Game Studios
The Gunstringer	7.7	Twisted Pixel Games	Twisted Pixel Games
Mutant Storm Empire	7.7	PomPom Games	PomPom Games
Lumines Live!	7.7	Q Entertainment	Q Entertainment
Gears of War 3: RAAM's Shadow	7.7	Epic Games	Microsoft Game Studios
Full House Poker	7.7	Microsoft Game Studios	Microsoft Game Studios
Undertow	7.6	Chair Entertainment	Chair Entertainment
Street Fighter II' Hyper Fighting	7.6	Sensory Sweep	Capcom
Scene It? Box Office Smash	7.6	Screenlife Games	Microsoft Game Studios
Kinect Sesame Street TV	7.6	Microsoft Studios - Soho Productions	Microsoft Game Studios
Half-Minute Hero: Super Mega Neo Climax	7.6	Opus	Microsoft Game Studios
Guwange	7.6	Cave	Cave
Forza Horizon: Rally Expansion Pack	7.6	Playground Games	Microsoft Game Studios
Chessmaster LIVE	7.6	Ubisoft Bulgaria	Ubisoft
The Dishwasher: Dead Samurai	7.5	Ska Studios	Microsoft Game Studios
Smash T.V.	7.5	Digital Eclipse	Midway
Raskulls	7.5	Halfbrick Studios	Halfbrick Studios
Panzer General: Allied Assault	7.5	Petroglyph	Ubisoft
Gears of War 3: Fenix Rising Map Pack	7.5	Epic Games	Microsoft Game Studios
Culdcept SAGA	7.5	Omiya Soft	Namco Bandai Games
Assault Heroes 2	7.5	Wanako Studios	Sierra Online
Alan Wake: The Signal	7.5	Remedy Entertainment	Microsoft Game Studios
Zeno Clash: Ultimate Edition	7.4	ACE Team	Atlus
Ridge Racer 6	7.4	Namco	Namco
NCAA Basketball 09: March Madness Edition	7.4	EA Canada	Electronic Arts
Hasbro Family Game Night: Sorry! Sliders	7.4	Electronic Arts	Electronic Arts
Hasbro Family Game Night: Connect Four	7.4	Electronic Arts	Electronic Arts
Galaga Legions	7.4	Namco Bandai Games	Namco Bandai Games
Doritos Crash Course	7.4	Wanako Studios	Microsoft Game Studios
Dead Rising 2: Case West	7.4	Blue Castle Games	Capcom
Dance Dance Revolution Universe	7.4	Konami	Konami
Comic Jumper: The Adventures of Captain Smiley	7.4	Twisted Pixel Games	Twisted Pixel Games
Zumba Fitness Rush	7.3	Zoe Mode	Majesco
Your Shape: Fitness Evolved	7.3	Ubisoft Montreal	Ubisoft
Small Arms	7.3	Gastronaut Studios	Gastronaut Studios
Scene It? Lights, Camera, Action	7.3	Screenlife Games	Microsoft Game Studios
Raiden Fighters Aces	7.3	Gulti	Valcon Games
NBA Baller Beats	7.3	HB Studios Multimedia	Majesco
Motocross Madness (2013)	7.3	Bongfish	Microsoft Game Studios
Kinect Sports	7.3	Rare Ltd.	Microsoft Game Studios
Jetpac Refuelled	7.3	Rare Ltd.	Microsoft Game Studios
Hybrid (2012)	7.3	5TH Cell	Microsoft Game Studios
Beautiful Katamari	7.3	Now Production	Namco Bandai Games
South Park Let's Go Tower Defense Play!	7.2	Doublesix	Microsoft Game Studios
Race Pro	7.2	SimBin	Atari SA
Hexic 2	7.2	Carbonated Games	Microsoft Game Studios
Hasbro Family Game Night: Battleship	7.2	Electronic Arts	Electronic Arts
Gel: Set & Match	7.2	Gastronaut Studios	Gastronaut Studios
Crimson Alliance	7.2	Certain Affinity	Certain Affinity
Commanders: Attack	7.2	Southend Interactive	Sierra Online
Amped 3	7.2	2K Sports	2K Sports
Nike+ Kinect Training	7.1	Nike, Inc.	Microsoft Game Studios
Meteos Wars	7.1	Q Entertainment	Q Entertainment
Hasbro Family Game Night: Sorry!	7.1	Electronic Arts	Electronic Arts
Fruit Ninja Kinect	7.1	Halfbrick Studios	Microsoft Game Studios
Easy Golf: Course Architect	7.1	BarkersCrest Studios	BarkersCrest Studios
Chromehounds	7.1	From Software	Sega
Ticket to Ride (2008)	7.0	Next Level Games	Microsoft Game Studios
The Outfit	7.0	Relic Entertainment	THQ
Lips: Number One Hits	7.0	iNiS	Microsoft Game Studios
Haunt (2012)	7.0	NanaOn-Sha	Microsoft Game Studios
Full Auto	7.0	Pseudo Interactive	Sega
Crackdown 2	7.0	Ruffian Games	Microsoft Game Studios
Trouble Witches Neo!	6.9	Adventure Planning Service	SNK Playmore
Sonic & Knuckles	6.9	Sonic Team	Sega
Quake Arena Arcade	6.9	id Software	Bethesda Softworks
Pinball FX (2007)	6.9	Zen Studios	Microsoft Game Studios
Magna Carta 2	6.9	SoftMax	Namco Bandai Games
Lips: Party Classics	6.9	iNiS	Microsoft Game Studios
Golf: Tee It Up!	6.9	Housemarque	Activision
Fusion: Genesis	6.9	Starfire Studios	Microsoft Game Studios
Boom Boom Rocket	6.9	Bizarre Creations	Electronic Arts
The Biggest Loser: Ultimate Workout	6.8	Blitz Games Studios	THQ
Stoked	6.8	Bongfish	Destineer
Schizoid	6.8	Torpex Games LLC	Microsoft Game Studios
Infinite Undiscovery	6.8	Tri-Ace	Square Enix
Hasbro Family Game Night: Boggle	6.8	Electronic Arts	Electronic Arts
Go! Go! Break Steady	6.8	Little Boy Games	Microsoft Game Studios
Bejeweled Blitz Live	6.8	Torpex Games LLC	PopCap
Wreckateer	6.7	Iron Galaxy Studios	Microsoft Game Studios
PopCap Arcade Vol 2	6.7	PopCap	PopCap
Nin2-Jump	6.7	Cave	Cave
Joy Ride Turbo	6.7	BigPark	Microsoft Game Studios
Tomb Raider Underworld: Lara's Shadow	6.6	Crystal Dynamics	Eidos Interactive
Shred Nebula	6.6	CrunchTime Games	CrunchTime Games
Lost Cities (2008)	6.6	Sierra Online Shanghai	Sierra Online
Kinect Sports: Season Two	6.6	BigPark	Microsoft Game Studios
Fantastic Pets	6.6	Blitz Games Studios	THQ
Fable II: Knothole Island	6.6	Lionhead Studios	Microsoft Game Studios
F.E.A.R. Files	6.6	TimeGate Studios	Sierra Entertainment
Death Tank	6.6	Snowblind Studios	Microsoft Game Studios
Shotest Shogi	6.5	AI Factory	Microsoft Game Studios
Mini Ninjas Adventures	6.5	Side Kick LTD	Square Enix
Harms Way	6.5	Bongfish	Bongfish
Dance Dance Revolution Universe 3	6.5	Konami	Konami
Dance Dance Revolution Universe 2	6.5	Konami	Konami
Capcom Digital Collection	6.5	Capcom	Capcom
Bankshot Billiards 2	6.5	PixelStorm	PixelStorm
Project Sylpheed: Arc of Deception	6.4	Game Arts	Square Enix
Wits & Wagers	6.3	Hidden Path Entertainment	Microsoft Game Studios
Texas Hold 'Em	6.3	TikGames	TikGames
Raiden IV	6.3	Moss	UFO Interactive
Namco Museum: Virtual Arcade	6.3	Namco Bandai Games	Namco Bandai Games
Gin Rummy (2008)	6.3	Sierra Online Shanghai	Sierra Online
DanceMasters	6.3	GCP1	Konami
Rumble Roses XX	6.2	Konami	Konami
Islands of Wakfu	6.2	Ankama Games	Microsoft Game Studios
Fable II: See the Future	6.2	Lionhead Studios	Microsoft Game Studios
Root Beer Tapper	6.1	Digital Eclipse	Midway
PowerUp Heroes	6.1	Ubisoft	Ubisoft
Ninety-Nine Nights	6.1	Q Entertainment	Microsoft Game Studios
Kinect Adventures!	6.1	Good Science Studio	Microsoft Game Studios
Football Genius - The Ultimate Quiz	6.1	RTL	RTL
Fable: The Journey	6.1	Lionhead Studios	Microsoft Game Studios
WarTech: Senko no Ronde	6.0	G.Rev	Ubisoft
Tomb Raider Underworld: Beneath the Ashes	6.0	Crystal Dynamics	Eidos Interactive
Sega Vintage Collection: Golden Axe	6.0	M2	Sega
Leedmees	6.0	Konami	Konami
Encleverment Experiment	6.0	Blitz Arcade	Blitz Arcade
Spectral Force 3	5.9	Xpec	Atlus
Soltrio Solitaire	5.9	Silver Creek Entertainment	Silver Creek Entertainment
Hydrophobia	5.9	Dark Energy Digital	Microsoft Game Studios
GEON: emotions	5.9	Strawdog Studios	Eidos Interactive
Dance Paradise	5.9	Smack Down Productions	THQ
Vigilante 8: Arcade	5.8	Isopod Labs	Activision
Rabbids: Alive & Kicking	5.8	Ubisoft	Ubisoft
Arkanoid Live!	5.8	Taito Corporation	Taito Corporation
Aegis Wing	5.8	Carbonated Games	Microsoft Game Studios
Sea Life Safari	5.7	Wanako Studios	Sierra Online
Gears of War: Judgment - Call to Arms	5.7	Epic Games	Microsoft Game Studios
Freefall Racers	5.7	Smoking Gun Interactive	Deep Silver
Body and Brain Connection	5.7	Namco Bandai Games	Namco Bandai Games
Blazing Birds	5.7	Vector 2 Games	Microsoft Game Studios
Watchmen: The End Is Nigh Parts 1 and 2	5.6	Deadline Games	Warner Bros. Interactive Entertainment
Viva Pinata: Party Animals	5.6	Krome Studios	Microsoft Game Studios
Tenchu Z	5.6	K2 LLC	Microsoft Game Studios
Kung-Fu High Impact	5.6	Virtual Air Guitar Company	UTV Ignition Games
Gyruss	5.6	Digital Eclipse	Konami
Don King Presents: Prizefighter	5.6	Venom Games	2K Sports
Diabolical Pitch	5.6	Grasshopper Manufacture	Microsoft Game Studios
Death By Cube	5.6	Premium Agency 	Square Enix
Carnival Games: Monkey See, Monkey Do!	5.6	Take-Two Interactive	Take-Two Interactive
You're in the Movies	5.5	Zoe Mode	Codemasters
Yo-Ho Kablammo	5.5	Canalside Studios	Microsoft Game Studios
Warhammer: Battle March	5.5	Black Hole Games	Namco Bandai Games
SpongeBob SquarePants: Underpants Slam!	5.5	Blitz Arcade	THQ
Kinect Star Wars	5.5	Terminal Reality	Microsoft Game Studios
Fable Heroes	5.5	Lionhead Studios	Microsoft Game Studios
Centipede & Millipede	5.5	Stainless Games	Atari SA
Asteroids & Deluxe	5.5	Stainless Games	Atari SA
Spyglass Board Games	5.4	Strange Flavour	Microsoft Game Studios
Rise of Nightmares	5.4	Sega	Sega
Minesweeper Flags	5.4	TikGames	Microsoft Game Studios
Import Tuner Challenge	5.4	Genki	Ubisoft
Harry Potter for Kinect	5.4	Eurocom	Warner Bros. Interactive Entertainment
Tetris Splash	5.3	None	Tetris Online, Inc
Fable II Pub Games	5.3	Lionhead Studios	Microsoft Game Studios
Dungeon Fighter LIVE: Fall of Hendon Myre	5.3	Nexon	Microsoft Game Studios
Dead or Alive Xtreme 2	5.3	Team Ninja	Tecmo
Dash of Destruction	5.3	NinjaBee	Microsoft Game Studios
Tetris Evolution	5.2	Mass Media	THQ
South Park: Tenorman's Revenge	5.2	Other Ocean Interactive	Other Ocean Interactive
Kinect Joy Ride	5.2	BigPark	Microsoft Game Studios
Wing Commander Arena	5.1	Gaia Industries	EA Games
Warlords (2008)	5.1	Stainless Games	Atari SA
Novadrome	5.0	Stainless Games	Buena Vista Games
Battlezone (2008)	5.0	Stainless Games	Atari SA
Adrenalin Misfits	5.0	Konami	Konami
Zombie Wranglers	4.9	Frozen Codebase	Sierra Online
Yoostar on MTV	4.9	Yoostar Entertainment Group	Yoostar Entertainment Group
Puzzle Arcade	4.9	Ctxm/Say Design	Eidos Interactive
Over G Fighters	4.9	Taito Corporation	Ubisoft
Fuzion Frenzy 2	4.9	Hudson Soft	Microsoft Game Studios
DreamWorks Shrek-N-Roll	4.9	Backbone Entertainment	Activision
Dragon Ball Z for Kinect	4.9	Spike Chunsoft	Namco Bandai Games
Doodle Jump for Kinect	4.9	Smoking Gun Interactive	D3Publisher
Domino Master	4.9	TikGames	Microsoft Game Studios
Otomedius Excellent	4.8	Konami	Konami
Fire Pro Wrestling	4.8	Spike Chunsoft	Microsoft Game Studios
Tempest	4.7	Stainless Games	Atari SA
Sonic Free Riders	4.7	Sonic Team	Sega
Red Bull Crashed Ice Kinect	4.7	Bongfish	Microsoft Game Studios
Hole in the Wall	4.7	Virtuos	Microsoft Game Studios
Zoids Assault	4.6	Takara Tomy	Atlus
Yu-Gi-Oh! 5D's Decade Duels	4.6	Konami	Konami
Shadow Assault -Tenchu-	4.6	From Software	From Software
Samurai Shodown Sen	4.6	K2 LLC	XSEED Games
Operation Darkness	4.6	Success	Atlus
MLB Stickball	4.6	Gaia Industries	2K Sports
N3II: Ninety-Nine Nights	4.5	FeelPlus	Konami
Mr. Driller Online	4.5	Namco Bandai Games	Namco Bandai Games
TotemBall	4.4	Strange Flavour	Freeverse Software
Street Trace: NYC	4.4	Gaia Industries	Gaia Industries
FunTown Mahjong	4.4	FunTown World Limited	Microsoft Game Studios
Discs of Tron	4.4	Backbone Charlottetown	Disney Interactive Studios
Word Puzzle	4.3	InterServ International	InterServ International
TRON	4.3	Backbone Entertainment	Disney Interactive Studios
America's Army: True Soldiers	4.3	Red Storm Entertainment	Ubisoft
Bloodforge	4.2	Climax Studios	Microsoft Game Studios
Things on Wheels	4.1	Load Inc.	Focus Home Interactive
Cyberball 2072	4.1	Digital Eclipse	Midway
0 Day Attack on Earth	4.1	Gulti	Square Enix
The Warriors: Street Brawl	4.0	CXTM	Paramount Digital Entertainment
Screwjumper!	4.0	Frozen Codebase	THQ
Naval Assault: The Killing Tide	4.0	Artech Studios	505 Games
MotionSports	4.0	Ubisoft Milan	Ubisoft
Wipeout: In the Zone	3.9	Behaviour Interactive	Activision
Onechanbara: Bikini Samurai Squad	3.9	Tamsoft	D3Publisher
Coffeetime Crosswords	3.9	Voltex, Inc.	Konami
Steel Battalion: Heavy Armor	3.8	From Software	Capcom
Kengo: Legend of the 9	3.8	Genki	Majesco
Rocky and Bullwinkle	3.7	Zen Studios	Microsoft Game Studios
Frogger 2	3.7	Voltex, Inc.	Konami
Blackwater	3.7	Zombie Studios	505 Games
Infernal: Hell's Vengeance	3.5	Metropolis Software	Playlogic
Bomberman Act: Zero	3.4	Hudson	Konami
Game Party: In Motion	3.3	Farsight Studios	Warner Bros. Interactive Entertainment
Fighters Uncaged	3.2	Ubisoft	Ubisoft
Beat'n Groovy	2.9	Voltex, Inc.	Konami
Crazy Mouse	2.8	Ultizen Games	Ultizen Games
Hulk Hogan's Main Event	2.6	Panic Button	Majesco
Deca Sports Freedom	2.6	Hudson	Hudson Entertainment
Self-Defense Training Camp	2.1	Advanced Mobile Applications Ltd.	Ubisoft
Yaris	1.7	Backbone Entertainment	Backbone Entertainment
Double Dragon II: Wander of the Dragons	1.7	Gravity	CFK
